Date,Open,High,Low,Close,Volume,Adj Close
2016-09-06,18493.400391,18551.539062,18085.449219,18085.449219,87752500,18085.449219
2016-08-29,18421.289062,18544.759766,18295.480469,18491.960938,76156000,18491.960938
2016-08-22,18535.859375,18631.599609,18335.339844,18395.400391,72584000,18395.400391
2016-08-15,18588.589844,18722.609375,18468.679688,18552.570312,72966000,18552.570312
2016-08-08,18541.890625,18638.339844,18468.779297,18576.470703,65546000,18576.470703
2016-08-01,18434.50,18543.529297,18247.789062,18543.529297,81724000,18543.529297
2016-07-25,18554.490234,18555.689453,18368.820312,18432.240234,94170000,18432.240234
2016-07-18,18521.550781,18622.009766,18469.669922,18570.849609,85824000,18570.849609
2016-07-11,18161.529297,18557.429688,18161.529297,18516.550781,92542000,18516.550781
2016-07-05,17904.449219,18166.769531,17713.449219,18146.740234,92920000,18146.740234
2016-06-27,17355.210938,18002.380859,17063.080078,17949.369141,114500000,17949.369141
2016-06-20,17736.869141,18011.070312,17356.339844,17400.75,122204000,17400.75
2016-06-13,17830.50,17893.279297,17471.289062,17675.160156,126038000,17675.160156
2016-06-06,17825.689453,18016.00,17812.339844,17865.339844,76422000,17865.339844
2016-05-31,17891.50,17899.240234,17664.789062,17807.060547,95937500,17807.060547
2016-05-23,17507.039062,17891.710938,17480.050781,17873.220703,79116000,17873.220703
2016-05-16,17531.759766,17755.800781,17331.070312,17500.939453,95668000,17500.939453
2016-05-09,17743.849609,17934.609375,17512.480469,17535.320312,84794000,17535.320312
2016-05-02,17783.779297,17912.349609,17580.380859,17740.630859,86746000,17740.630859
2016-04-25,17990.939453,18084.660156,17651.980469,17773.640625,104604000,17773.640625
2016-04-18,17890.199219,18167.630859,17848.220703,18003.75,103252000,18003.75
2016-04-11,17586.480469,17962.140625,17553.570312,17897.460938,96500000,17897.460938
2016-04-04,17799.390625,17806.380859,17484.230469,17576.960938,93996000,17576.960938
2016-03-28,17526.080078,17811.480469,17434.269531,17792.75,88688000,17792.75
2016-03-21,17589.699219,17648.939453,17399.009766,17515.730469,87050000,17515.730469
2016-03-14,17207.490234,17620.580078,17120.349609,17602.300781,149422000,17602.300781
2016-03-07,16991.289062,17220.089844,16821.859375,17213.310547,113270000,17213.310547
2016-02-29,16634.150391,17062.380859,16510.400391,17006.769531,106752000,17006.769531
2016-02-22,16417.130859,16795.980469,16165.860352,16639.970703,97326000,16639.970703
2016-02-16,16012.389648,16511.839844,16012.389648,16391.990234,126350000,16391.990234
2016-02-08,16147.509766,16201.889648,15503.009766,15973.839844,144106000,15973.839844
2016-02-01,16453.630859,16510.980469,15960.450195,16204.969727,130606000,16204.969727
2016-01-25,16086.459961,16466.300781,15863.719727,16466.300781,145574000,16466.300781
2016-01-19,16009.450195,16171.959961,15450.55957,16093.509766,156805000,16093.509766
2016-01-11,16358.709961,16593.509766,15842.110352,15988.080078,159368000,15988.080078
2016-01-04,17405.480469,17405.480469,16314.570312,16346.450195,138430000,16346.450195
2015-12-28,17535.660156,17750.019531,17421.160156,17425.029297,70770000,17425.029297
2015-12-21,17154.939453,17607.919922,17116.730469,17552.169922,84912500,17552.169922
2015-12-14,17277.109375,17796.759766,17124.310547,17128.550781,170020000,17128.550781
2015-12-07,17845.490234,17845.490234,17230.50,17265.210938,115446000,17265.210938
2015-11-30,17802.839844,17901.580078,17425.560547,17847.630859,125388000,17847.630859
2015-11-23,17823.609375,17868.179688,17683.509766,17813.390625,106732500,17813.390625
2015-11-16,17229.939453,17914.339844,17210.429688,17823.810547,135872000,17823.810547
2015-11-09,17900.779297,17900.779297,17238.890625,17245.240234,114676000,17245.240234
2015-11-02,17672.619141,17977.849609,17655.019531,17910.330078,99876000,17910.330078
2015-10-26,17649.570312,17799.960938,17540.570312,17663.539062,117160000,17663.539062
2015-10-19,17209.429688,17679.369141,17129.189453,17646.699219,128542000,17646.699219
2015-10-12,17082.289062,17220.019531,16887.669922,17215.970703,112170000,17215.970703
2015-10-05,16502.099609,17110.880859,16502.099609,17084.490234,113564000,17084.490234
2015-09-28,16313.259766,16472.769531,15942.370117,16472.369141,131024000,16472.369141
2015-09-21,16406.099609,16578.599609,16016.360352,16314.669922,109756000,16314.669922
2015-09-14,16450.859375,16933.429688,16330.870117,16384.580078,151324000,16384.580078
2015-09-08,16109.929688,16664.650391,16109.929688,16433.089844,117495000,16433.089844
2015-08-31,16632.019531,16632.019531,15979.950195,16102.379883,136662000,16102.379883
2015-08-24,16459.75,16669.970703,15370.330078,16643.009766,203866000,16643.009766
2015-08-17,17472.660156,17568.400391,16459.550781,16459.75,122340000,16459.75
2015-08-10,17375.179688,17629.130859,17125.810547,17477.400391,97302000,17477.400391
2015-08-03,17696.740234,17704.759766,17279.080078,17373.380859,93472000,17373.380859
2015-07-27,17561.779297,17783.589844,17399.169922,17689.859375,99444000,17689.859375
2015-07-20,18085.910156,18137.119141,17553.730469,17568.529297,95934000,17568.529297
2015-07-13,17787.269531,18131.609375,17787.269531,18086.449219,87024000,18086.449219
2015-07-06,17728.080078,17797.490234,17465.679688,17760.410156,90424000,17760.410156
2015-06-29,17936.740234,17936.740234,17576.50,17730.109375,103222500,17730.109375
2015-06-22,18027.630859,18188.810547,17890.359375,17946.679688,99168000,17946.679688
2015-06-15,17890.759766,18174.730469,17698.419922,18015.949219,122920000,18015.949219
2015-06-08,17849.460938,18109.769531,17714.970703,17898.839844,89416000,17898.839844
2015-06-01,18017.820312,18168.089844,17822.900391,17849.460938,83784000,17849.460938
2015-05-26,18229.75,18229.75,17967.740234,18010.679688,103290000,18010.679688
2015-05-18,18267.25,18351.359375,18217.140625,18232.019531,81926000,18232.019531
2015-05-11,18187.779297,18272.720703,17924.800781,18272.560547,92060000,18272.560547
2015-05-04,18026.019531,18205.230469,17733.119141,18191.109375,91532000,18191.109375
2015-04-27,18097.890625,18175.560547,17774.890625,18024.060547,113800000,18024.060547
2015-04-20,17841.179688,18133.029297,17841.179688,18080.140625,101794000,18080.140625
2015-04-13,18052.320312,18169.259766,17748.529297,17826.300781,108982000,17826.300781
2015-04-06,17755.50,18066.759766,17646.800781,18057.650391,90594000,18057.650391
2015-03-30,17727.480469,18008.640625,17585.009766,17763.240234,103560000,17763.240234
2015-03-23,18136.730469,18205.929688,17579.269531,17712.660156,102548000,17712.660156
2015-03-16,17751.240234,18197.289062,17697.519531,18127.650391,151392000,18127.650391
2015-03-09,17856.560547,18031.039062,17620.490234,17749.310547,106712000,17749.310547
2015-03-02,18134.050781,18288.630859,17825.150391,17856.779297,88742000,17856.779297
2015-02-23,18140.759766,18244.380859,18054.839844,18132.699219,85214000,18132.699219
